INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






1423,BIO F215,BIOPHYSICS,3,-,3,1,SHIBASISH CHOWDHURY,3160,T Th S,4,09/05,FN
,,,,,,Navin Singh,,,,,,
,,Tutorial,,,,Shibasish Chowdhury,3160,W,1,,,
,,,,,,Navin Singh,,,,,,
1779,BIO F231,BIOLOGY PROJECT LAB,-,-,3,1,SANDHYA MEHROTRA,3252,M,7,,
,,Practical,,,,Sandhya Mehrotra,3125,W F,7 8,,,
,,,,,,Shilpi Garg,,,,,,
1424,BIO F241,ECOLOGY & ENVIRON SCI,3,-,3,1,BHAGAVATULA VANI,2204,M W F,3,11/05,FN
,,Tutorial,,,,Bhagavatula Vani,2204,M,1,,,
1430,BIO F242,INTRO TO BIOINFORMATICS,3,-,3,1,SHIBASISH CHOWDHURY,3247,M W F,5,03/05,FN
,,Tutorial,,,,Shibasish Chowdhury,3247,S,1,,,
1425,BIO F243,GENETICS,3,-,3,1,SK VERMA,3215,M W F,4,05/05,FN
,,,,,,Sudeshna M Choudhury,,,,,,
,,Tutorial,,,,SK Verma,3215,F,1,,,
,,,,,,Sudeshna M Choudhury,,,,,,
1426,BIO F244,INSTRU METHODS OF ANAL,1,3,4,1,PANKAJ KUMAR SHARMA,3252,S,5,12/05,FN
,,Practical,,,1,Pankaj Kumar Sharma,3155,T Th,1 2 3,,,
,,,,,2,Uma S Dubey,3155,T Th,7 8 9,,,
1651,BIO F266,STUDY PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
1454,BIO F314,CONSERVATION BIOLOGY,2,1,3,1,SANDHYA MARATHE,6163,M F,2,16/05,FN
,,Practical,,,,Sandhya Marathe,6153,S,2 3,,,
1431,BIO F341,DEVELOPMENTAL BIOLOGY,3,-,3,1,AK DAS,3253,T Th S,5,12/05,FN
,,Tutorial,,,,AK Das,3253,F,1,,,
1432,BIO F342,IMMUNOLOGY,3,-,3,1,UMA S DUBEY,3160,M W F,9,06/05,FN
,,Tutorial,,,,Uma S Dubey,3160,Th,2,,,
1650,BIO F366,LABORATORY PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
II. COURSEWISE TIMETABLE,,,,,,3,,SECOND SEMESTER 2016-2017,,,,






1685,BIO F376,DESIGN PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
1618,BIO F411,LABORATORY,-,3,3,1,JITENDRA PANWAR,3126,T Th,7 8 9,,
,,,,,,Bhagavatula Vani,,,,,,
,,,,,,Vishal Saxena,,,,,,
1434,BIO F418,GENETIC ENGINEERING TECH,1,3,4,1,PRABHAT NATH JHA,3201,M,7,10/05,FN
,,Practical,,,,Sandhya Marathe,3122,T Th,1 2 3,,,
,,,,,,Prabhat Nath Jha,,,,,,
1435,BIO F419,MOLECULAR EVOLUTION,3,-,3,1,RAJESH MEHROTRA,3253,M W F,3,11/05,FN
1710,BIO F491,SPECIAL PROJECT,-,-,3,1,PRABHAT NATH JHA,,,,,
111,BIO G515,STEM CELL & REGENER BIO,3,1,4,1,RAJDEEP CHOWDHURY,3249,M W F,5,09/05,AN
2124,BIO G545,MOL PARASIT & VECTOR BIO,-,-,5,1,VISHAL SAXENA,3249,M W F,7,06/05,AN
2168,BIO G561,ADV RECOMBINANT DNA TECH,3,2,5,1,SANDHYA MEHROTRA,3248,M W F,4,13/05,AN
203,BIO G642,EXPERIMENTAL TECHNIQUES,-,-,5,1,SHILPI GARG,3248,M,3,05/05,AN
,,Practical,,,,Sudeshna M Choudhury,3122,T Th,7 8 9 10,,,
,,,,,,Shilpi Garg,,,,,,
956,BIO G643,PLANT BIOTECHNOLOGY,3,2,5,1,JITENDRA PANWAR,3249,T Th S,4,16/05,AN
,,,,,,Rajesh Mehrotra,,,,,,
,,Practical,,,,Rajesh Mehrotra,3122,S,1 2,,,
,,,,,,Jitendra Panwar,,,,,,
554,BITS C412,PRACTICE SCHOOL II,-,-,20,1,NIRANJAN SWAIN,,,,,
762,BITS C413,PRACTICE SCHOOL II,-,-,20,1,NIRANJAN SWAIN,,,,,
763,BITS C421T,THESIS,-,-,15,1,HEMANT R JADHAV,,,,,
638,BITS C422T,THESIS,-,-,15,1,HEMANT R JADHAV,,,,,
814,BITS C441T,SEMINAR,-,-,1,1,HEMANT R JADHAV,,,,,
639,BITS C442T,SEMINAR,-,-,1,1,HEMANT R JADHAV,,,,,
549,BITS C790T,INDEPENDENT STUDY,-,-,2,1,HEMANT R JADHAV,,,,,
II. COURSEWISE TIMETABLE,,,,,,4,,SECOND SEMESTER 2016-2017,,,,






596,BITS C791T,TEACHING PRACTICE I,-,-,1,1,SRIKANTA ROUTROY,,,,,
602,BITS C792T,TEACHING PRACTICE II,-,-,1,1,SRIKANTA ROUTROY,,,,,
520,BITS C797T,PHD SEMINAR,-,-,2,1,HEMANT R JADHAV,,,,,
553,BITS C799T,PHD THESIS,-,-,40,1,HEMANT R JADHAV,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,SRIKANTA ROUTROY,,,,,
858,BITS E794T,PRACTICE LECT SERIES II,-,-,1,1,SRIKANTA ROUTROY,,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1,2,2,1,M S DASGUPTA,5105,S,5,16/05,FN
,,,,,,Shuvendu N Patel,,,,,,
,,Practical,,,1,Durgesh Vikram,6118,M F,3 4,,,
,,,,,,Tamalika Bhakat,,,,,,
,,,,,,Tanmay Gupta,,,,,,
,,,,,2,Kamlesh Kumar,6118,W S,3 4,,,
,,,,,,Nitesh Sihag,,,,,,
,,,,,,Pankaj Munjal,,,,,,
,,,,,3,Nikhil Saboo,6118,T Th,1 2,,,
,,,,,,Gaurav Kumar,,,,,,
,,,,,,Himanshu Chawla,,,,,,
,,,,,4,Vishakha Sakhare,6118,T Th,3 4,,,
,,,,,,Nitesh Sihag,,,,,,
,,,,,,Tamalika Bhakat,,,,,,
,,,,,5,Kailash Choudhary,6118,T Th,6 7,,,
,,,,,,Nilesh Purohit,,,,,,
,,,,,,V Sudhir,,,,,,
,,,,,6,Simarpreet Singh,6118,T Th,8 9,,,
,,,,,,Rahul Priyadarshi,,,,,,
,,,,,,Vasanth Keshav,,,,,,
1004,BITS F111,THERMODYNAMICS,3,-,3,1,SACHIN U BELGAMWAR,5102,M W F,5,05/05,AN
II. COURSEWISE TIMETABLE,,,,5,,SECOND SEMESTER 2016-2017,,,,

,,,,Souvik Bhattacharyya,,,,,,
,,,,2,Manoj Soni,5102,M W F,9,,
,,,,Souvik Bhattacharyya,,,,,,
,,Tutorial,,1,Satyabrata Sahoo,2207,M,1,,
,,,,2,Vivek Tiwari,2235,M,1,,
,,,,3,Ravi Inder Singh,2203,M,1,,
,,,,4,Prashant U Manohar,3246,M,1,,
,,,,5,Priya C Sande,6104,M,1,,
,,,,6,Sachin U Belgamwar,2212,W,2,,
,,,,7,Ramkinkar Roy,3248,W,2,,
,,,,8,Shyam Sundar Yadav,2216,W,2,,
,,,,9,Madhukar Mishra,2221,W,2,,
,,,,10,Vivek Tiwari,2207,W,2,,
,,,,11,Sanjeev Jhakhar,2215,F,1,,
